num_seats_total,mean_net_ticket_price,Dept_Date,Purchase_Date,Train_Number_All,Culmulative_sales,isNormCabin,isReturn,isOneway,Customer_Cat
1,188.6634223,10/9/19,10/10/18,A,1,1,0,0,A
1,358.4288689,5/27/19,6/6/18,B,1,0,1,0,A
1,356.3726841,5/31/20,6/17/19,B,1,0,1,0,A
1,396.3705054,12/10/19,12/27/18,C,1,0,1,0,A
1,364.2645522,5/31/20,6/19/19,B,2,0,1,0,A
1,318.3004193,5/23/20,6/20/19,D,1,0,1,0,A
2,464.0109276,5/23/19,6/20/18,E,2,0,1,0,A
1,355.2216231,10/18/19,11/15/18,C,1,0,1,0,A
1,354.8727006,10/14/19,11/15/18,F,1,0,0,0,A
3,83.17776309,8/12/19,9/13/18,G,47,1,1,0,A
1,357.2380087,4/30/20,6/4/19,B,1,0,1,0,A
3,108.1892714,8/9/19,9/13/18,H,19,1,0,0,A
1,358.9493325,4/30/20,6/7/19,B,2,0,1,0,A
1,98.75888258,5/9/20,6/20/19,I,1,1,1,0,A
1,370.0772537,12/31/19,2/11/19,D,1,0,1,0,A
1,100.1814732,5/4/20,6/20/19,F,1,1,0,0,A
1,372.7493115,12/31/19,2/19/19,D,2,0,1,0,A
1,359.7354079,12/13/19,2/7/19,D,1,0,1,0,A
1,359.7503271,12/11/19,2/7/19,J,1,0,0,0,A
1,345.4722239,5/7/19,7/10/18,B,1,0,1,0,A
2,366.9955081,12/18/19,2/21/19,K,2,0,1,0,A
1,414.352996,5/22/19,8/6/18,D,1,0,1,0,A
1,367.8089882,8/31/19,11/15/18,B,1,0,1,0,A
7,151.6277318,12/12/19,3/1/19,D,11,1,1,0,A
1,558.7395109,5/18/19,8/6/18,A,1,0,0,0,A
7,185.7071392,12/7/19,3/1/19,E,7,1,0,0,A
1,355.9525297,9/14/19,12/7/18,B,1,0,1,0,A
1,566.2346348,3/7/19,6/7/18,C,1,0,1,0,A
1,564.8393395,3/5/19,6/7/18,H,1,0,0,0,A
1,395.043657,10/1/19,1/8/19,B,1,0,1,0,A
1,371.6582023,12/31/19,4/10/19,I,1,0,1,0,A
1,351.2874241,6/30/19,10/15/18,I,1,0,1,0,A
1,362.6341233,5/11/19,8/28/18,C,1,0,1,0,A
1,363.5326799,5/10/19,8/28/18,C,1,0,1,0,A
1,320.308606,8/16/19,12/5/18,B,1,0,1,0,A
1,360.1355928,10/6/19,1/25/19,C,1,0,1,0,A
2,362.2613087,5/6/19,8/28/18,F,2,0,0,0,A
1,420.3399042,11/18/19,3/13/19,L,1,0,0,1,A
1,359.1662699,10/1/19,1/25/19,F,1,0,0,0,A
1,363.6743144,5/30/19,9/24/18,B,1,0,1,0,A
1,354.4630795,7/20/19,11/15/18,I,1,0,1,0,A
1,319.9380308,8/9/19,12/5/18,M,1,0,0,0,A
1,105.9515208,10/25/19,2/21/19,B,7,1,1,0,A
1,107.3507799,10/22/19,2/21/19,J,1,1,0,0,A
1,355.6111558,7/15/19,11/15/18,F,1,0,0,0,A
1,364.3971641,6/30/19,10/31/18,C,1,0,1,0,A
3,106.4070961,3/16/19,7/19/18,G,3,1,1,0,A
1,355.117724,1/24/20,5/29/19,B,1,0,1,0,A
1,353.9811392,12/20/19,4/25/19,I,3,0,1,0,A
1,427.9416083,3/1/19,7/6/18,J,1,0,0,0,A
3,104.6836523,3/12/19,7/19/18,F,3,1,0,0,A
1,975.2044873,11/22/19,4/1/19,K,1,0,0,1,A
1,105.3820751,3/16/19,7/25/18,G,4,1,1,0,A
1,362.9631255,5/1/19,9/11/18,D,1,0,1,0,A
1,366.8832615,4/26/19,9/7/18,B,1,0,1,0,A
1,104.4316951,3/12/19,7/25/18,F,4,1,0,0,A
1,356.5442881,12/31/19,5/15/19,G,1,0,1,0,A
1,354.7091645,5/28/19,10/11/18,G,1,0,1,0,A
1,368.278303,4/24/19,9/7/18,E,1,0,0,0,A
1,368.3305857,3/10/19,7/24/18,F,1,0,0,0,A
1,355.231696,12/20/19,5/6/19,I,4,0,1,0,A
1,353.2614739,5/26/19,10/11/18,E,1,0,0,0,A
1,365.5230171,6/30/19,11/15/18,C,2,0,1,0,A
1,107.3666669,10/8/19,2/24/19,B,3,1,1,0,A
1,276.6117586,7/25/19,12/12/18,G,1,0,1,0,A
1,355.8318641,6/22/19,11/9/18,D,1,0,1,0,A
1,278.5196017,7/22/19,12/12/18,E,1,0,0,0,A
2,125.2475172,11/24/19,4/17/19,B,26,1,1,0,A
1,362.2954834,2/2/19,6/27/18,K,1,0,1,0,A
10,114.41055,11/23/19,4/17/19,B,46,1,1,0,A
3,116.3345456,11/23/19,4/17/19,I,4,1,1,0,A
1,123.6227823,11/24/19,4/18/19,B,27,1,1,0,A
4,114.4731848,11/23/19,4/18/19,D,14,1,1,0,A
1,354.4444998,6/16/19,11/9/18,J,1,0,0,0,A
10,114.2029542,11/20/19,4/17/19,E,14,1,0,0,A
6,114.8264829,11/20/19,4/17/19,F,9,1,0,0,A
1,116.6951765,11/19/19,4/17/19,F,1,1,0,0,A
1,313.5164476,12/24/19,5/22/19,C,1,0,1,0,A
1,586.9961126,4/10/19,9/7/18,I,1,0,1,0,A
1,363.8988006,9/30/19,2/27/19,C,1,0,1,0,A
5,115.164767,11/18/19,4/18/19,J,5,1,0,0,A
1,187.6943539,7/12/19,12/10/18,I,1,1,1,0,A
1,366.9395119,4/8/19,9/7/18,H,1,0,0,0,A
1,144.9433644,12/7/19,5/8/19,I,4,1,1,0,A
1,432.5723785,2/21/19,7/24/18,B,1,0,1,0,A
1,358.521154,2/24/19,7/27/18,C,1,0,1,0,A
1,143.7539805,3/1/19,8/2/18,F,7,1,0,0,A
1,138.0612331,7/8/19,12/10/18,E,1,1,0,0,A
1,586.5466316,2/18/19,7/24/18,L,1,0,0,0,A
1,115.1420979,12/3/19,5/8/19,F,23,1,0,0,A
1,364.1723967,6/30/19,12/4/18,B,1,0,1,0,A
2,247.099832,1/1/19,6/11/18,I,2,1,1,0,A
1,363.3687468,5/24/19,11/1/18,C,1,0,1,0,A
1,176.8380567,1/11/20,6/21/19,D,1,1,1,0,A
1,359.3738658,12/29/18,6/8/18,B,1,0,1,0,A
1,351.5057622,1/25/19,7/6/18,C,1,0,1,0,A
1,138.4619106,4/17/19,9/27/18,I,7,1,1,0,A
1,101.7128021,1/8/20,6/21/19,E,14,1,0,0,A
1,389.7479109,1/2/19,6/16/18,I,1,0,1,0,A
1,362.5890317,5/20/19,11/1/18,E,1,0,0,0,A
1,567.8303982,3/30/19,9/11/18,B,1,0,1,0,A
2,285.9669184,12/29/18,6/12/18,C,2,0,1,0,A
1,359.7402174,8/30/19,2/11/19,B,1,0,1,0,A
1,125.4671808,11/24/19,5/9/19,G,29,1,1,0,A
1,362.5191352,8/30/19,2/12/19,C,1,0,1,0,A
2,243.9738284,12/26/18,6/11/18,A,2,1,0,0,A
1,440.6476327,1/20/19,7/6/18,L,1,0,0,0,A
2,330.8023657,2/15/19,8/1/18,B,2,0,1,0,A
1,96.00688108,9/17/19,3/5/19,E,8,1,0,0,A
1,464.6768901,12/31/18,6/19/18,L,1,0,1,0,A
1,114.7798169,11/20/19,5/9/19,E,27,1,0,0,A
1,568.4038632,3/25/19,9/11/18,F,1,0,0,0,A
1,135.2561414,9/12/19,3/1/19,B,1,1,1,0,A
1,357.0335347,8/21/19,2/7/19,D,1,0,1,0,A
